factor,dir,mode,adv,sharpe,cagr,months
value,高,top20%,2000萬,0.14957045162940216,4.424461954132686,256
value,高,top10%,2000萬,0.003848607711841601,1.089623421074526,256
value,高,top5%,2000萬,-0.08743755612873771,-1.05575334167054,256
value,高,N=25,2000萬,-0.13572358915968508,-2.2493201175728283,256
value,高,N=15,2000萬,-0.1730781501175432,-3.232122447209229,256
value,高,N=8,2000萬,-0.2396065678456115,-5.228702445008249,256
value,低,top20%,2000萬,0.25286842173161683,7.406612480588781,256
value,低,top10%,2000萬,0.17892944718146706,5.469018586977392,256
value,低,top5%,2000萬,0.1975472236098089,6.085469880948047,256
value,低,N=25,2000萬,0.2352175899929434,7.2245844765894685,256
value,低,N=15,2000萬,0.18353930183348816,5.973338703762687,256
value,低,N=8,2000萬,0.06078978215675078,2.7538949761143128,256
value_ind,高,top20%,2000萬,0.17750692597765064,5.091539458109939,256
value_ind,高,top10%,2000萬,0.1159962877630255,3.6896103477524145,256
value_ind,高,top5%,2000萬,0.030021133873264397,1.7029765533003616,256
value_ind,高,N=25,2000萬,0.010857506030406276,1.2539185933170272,256
value_ind,高,N=15,2000萬,0.000682010201918989,1.0160325134663584,256
value_ind,高,N=8,2000萬,0.053131835170850246,2.291647111676376,256
value_ind,低,top20%,2000萬,0.18832763693755109,5.668938443972782,256
value_ind,低,top10%,2000萬,0.09421323861653658,3.4065544927132985,256
value_ind,低,top5%,2000萬,0.04920552372850206,2.3450698406588755,256
value_ind,低,N=25,2000萬,0.0892385054164321,3.4479112625679154,256
value_ind,低,N=15,2000萬,0.10145605628282024,3.9302846333638675,256
value_ind,低,N=8,2000萬,0.12182227541131646,4.958246397312127,256
momentum,高,top20%,2000萬,0.03503206401805682,1.9073336150285503,256
momentum,高,top10%,2000萬,0.0013723310709061697,1.0384360844024387,256
momentum,高,top5%,2000萬,0.03337038601166061,2.0433843158925047,256
momentum,高,N=25,2000萬,-0.01142392430022175,0.6405077919972024,256
momentum,高,N=15,2000萬,0.058580730728746824,3.0015486669451974,256
momentum,高,N=8,2000萬,0.015329489789240845,1.600903552565569,256
