decision_month,as_of_session,required,twse_rows,tpex_rows,covered,explicit_na,off_board_unpublished,transport_unresolved,coverage_rate,twse_state,tpex_state
2019-01,2019-01-30,1793,927,766,1692,1,100,0,0.9437,OK,OK
2019-02,2019-02-27,1793,927,767,1693,1,99,0,0.9442,OK,OK
2019-03,2019-03-29,1795,931,768,1698,1,96,0,0.946,OK,OK
2019-04,2019-04-30,1793,931,768,1699,0,94,0,0.9476,OK,OK
2019-05,2019-05-31,1794,930,771,1701,0,93,0,0.9482,OK,OK
2019-06,2019-06-28,1798,928,775,1703,0,95,0,0.9472,OK,OK
2019-07,2019-07-31,1798,930,773,1703,0,95,0,0.9472,OK,OK
2019-08,2019-08-30,1797,929,772,1701,0,96,0,0.9466,OK,OK
2019-09,2019-09-27,1800,931,766,1697,0,103,0,0.9428,OK,OK
2019-10,2019-10-31,1803,933,774,1707,0,96,0,0.9468,OK,OK
2019-11,2019-11-29,1804,934,772,1706,0,98,0,0.9457,OK,OK
2019-12,2019-12-31,1810,941,774,1715,0,95,0,0.9475,OK,OK
2020-01,2020-01-31,1815,941,774,1715,0,100,0,0.9449,OK,OK
2020-02,2020-02-27,1814,940,772,1712,0,102,0,0.9438,OK,OK
2020-03,2020-03-31,1816,942,775,1715,2,99,0,0.9444,OK,OK
2020-04,2020-04-30,1815,942,774,1714,2,99,0,0.9444,OK,OK
2020-05,2020-05-29,1812,942,772,1713,1,98,0,0.9454,OK,OK
2020-06,2020-06-30,1811,0,772,771,1,1039,1,0.4257,NOT_HARVESTED,OK
2020-07,2020-07-31,1811,0,774,773,1,1037,1,0.4268,NOT_HARVESTED,OK
2020-08,2020-08-31,1810,0,773,773,0,1037,1,0.4271,NOT_HARVESTED,OK
2020-09,2020-09-30,1814,0,774,774,0,1040,1,0.4267,NOT_HARVESTED,OK
2020-10,2020-10-30,1815,0,775,775,0,1040,1,0.427,NOT_HARVESTED,OK
2020-11,2020-11-30,1816,0,775,775,0,1041,1,0.4268,NOT_HARVESTED,OK
2020-12,2020-12-31,1820,0,779,779,0,1041,1,0.428,NOT_HARVESTED,OK
2021-01,2021-01-29,1826,0,783,783,0,1043,1,0.4288,NOT_HARVESTED,OK
2021-02,2021-02-26,1827,0,786,786,0,1041,1,0.4302,NOT_HARVESTED,OK
2021-03,2021-03-31,1829,0,785,785,0,1044,1,0.4292,NOT_HARVESTED,OK
2021-04,2021-04-29,1832,0,785,785,0,1047,1,0.4285,NOT_HARVESTED,OK
2021-05,2021-05-31,1837,0,785,785,0,1052,1,0.4273,NOT_HARVESTED,OK
2021-06,2021-06-30,1838,0,784,784,0,1054,1,0.4266,NOT_HARVESTED,OK
2021-07,2021-07-30,1840,0,788,787,1,1052,1,0.4277,NOT_HARVESTED,OK
2021-08,2021-08-31,1842,0,788,787,1,1054,1,0.4273,NOT_HARVESTED,OK
2021-09,2021-09-30,1845,0,787,786,1,1058,1,0.426,NOT_HARVESTED,OK
2021-10,2021-10-29,1848,0,788,786,2,1060,1,0.4253,NOT_HARVESTED,OK
2021-11,2021-11-30,1855,0,789,785,4,1066,1,0.4232,NOT_HARVESTED,OK
2021-12,2021-12-30,1855,0,789,785,4,1066,1,0.4232,NOT_HARVESTED,OK
2022-01,2022-01-26,1857,0,789,786,3,1068,1,0.4233,NOT_HARVESTED,OK
2022-02,2022-02-25,1859,0,789,788,1,1070,1,0.4239,NOT_HARVESTED,OK
2022-03,2022-03-31,1858,0,795,794,1,1063,1,0.4273,NOT_HARVESTED,OK
2022-04,2022-04-29,1858,0,796,795,1,1062,1,0.4279,NOT_HARVESTED,OK
2022-05,2022-05-31,1856,0,797,797,0,1059,1,0.4294,NOT_HARVESTED,OK
2022-06,2022-06-30,1859,0,799,799,0,1060,1,0.4298,NOT_HARVESTED,OK
2022-07,2022-07-29,1862,0,796,796,0,1066,1,0.4275,NOT_HARVESTED,OK
2022-08,2022-08-31,1862,0,797,797,0,1065,1,0.428,NOT_HARVESTED,OK
2022-09,2022-09-30,1864,0,797,797,0,1067,1,0.4276,NOT_HARVESTED,OK
2022-10,2022-10-31,1868,0,804,801,3,1064,1,0.4288,NOT_HARVESTED,OK
2022-11,2022-11-30,1869,0,802,802,0,1067,1,0.4291,NOT_HARVESTED,OK
2022-12,2022-12-30,1873,0,807,807,0,1066,1,0.4309,NOT_HARVESTED,OK
2023-01,2023-01-31,1878,0,808,808,0,1070,1,0.4302,NOT_HARVESTED,OK
2023-02,2023-02-24,1877,0,804,804,0,1073,1,0.4283,NOT_HARVESTED,OK
2023-03,2023-03-31,1881,0,807,807,0,1074,1,0.429,NOT_HARVESTED,OK
2023-04,2023-04-28,1881,0,806,806,0,1075,1,0.4285,NOT_HARVESTED,OK
2023-05,2023-05-31,1884,0,809,809,0,1075,1,0.4294,NOT_HARVESTED,OK
2023-06,2023-06-30,1885,0,810,810,0,1075,1,0.4297,NOT_HARVESTED,OK
2023-07,2023-07-31,1891,0,810,810,0,1081,1,0.4283,NOT_HARVESTED,OK
2023-08,2023-08-31,1892,0,811,811,0,1081,1,0.4286,NOT_HARVESTED,OK
2023-09,2023-09-28,1895,0,811,811,0,1084,1,0.428,NOT_HARVESTED,OK
2023-10,2023-10-31,1896,0,809,809,0,1087,1,0.4267,NOT_HARVESTED,OK
2023-11,2023-11-30,1899,0,810,810,0,1089,1,0.4265,NOT_HARVESTED,OK
2023-12,2023-12-29,1909,0,811,811,0,1098,1,0.4248,NOT_HARVESTED,OK
2024-01,2024-01-31,1915,0,811,811,0,1104,1,0.4235,NOT_HARVESTED,OK
2024-02,2024-02-29,1916,0,812,812,0,1104,1,0.4238,NOT_HARVESTED,OK
2024-03,2024-03-29,1920,0,817,817,0,1103,1,0.4255,NOT_HARVESTED,OK
2024-04,2024-04-30,1921,0,818,818,0,1103,1,0.4258,NOT_HARVESTED,OK
2024-05,2024-05-31,1922,0,819,819,0,1103,1,0.4261,NOT_HARVESTED,OK
2024-06,2024-06-28,1929,0,822,822,0,1107,1,0.4261,NOT_HARVESTED,OK
2024-07,2024-07-31,1928,0,823,823,0,1105,1,0.4269,NOT_HARVESTED,OK
2024-08,2024-08-30,1930,0,820,820,0,1110,1,0.4249,NOT_HARVESTED,OK
2024-09,2024-09-30,1933,0,828,828,0,1105,1,0.4283,NOT_HARVESTED,OK
