date,n_baseline,n_u1,n_intersection,jaccard
2005-01-31,17,17,17,1.0
2005-02-25,45,45,45,1.0
2005-03-31,12,12,12,1.0
2005-04-29,10,10,10,1.0
2005-05-31,8,8,8,1.0
2005-06-30,38,38,38,1.0
2005-07-29,19,19,19,1.0
2005-08-31,22,22,22,1.0
2005-09-30,21,21,21,1.0
2005-10-31,20,20,20,1.0
2005-11-30,36,36,36,1.0
2005-12-30,36,36,36,1.0
2006-01-25,25,25,25,1.0
2006-02-27,15,15,15,1.0
2006-03-31,23,23,23,1.0
2006-04-28,39,39,39,1.0
2006-05-30,24,24,23,0.92
2006-06-30,32,31,31,0.96875
2006-07-31,26,26,26,1.0
2006-08-31,29,29,29,1.0
2006-09-29,37,37,37,1.0
2006-10-31,36,36,36,1.0
2006-11-30,45,45,45,1.0
2006-12-29,51,50,50,0.9803921568627451
2007-01-31,33,33,33,1.0
2007-02-27,41,41,41,1.0
2007-03-30,41,41,41,1.0
2007-04-30,35,34,34,0.9714285714285714
2007-05-31,30,30,30,1.0
2007-06-29,51,51,51,1.0
2007-07-31,38,38,38,1.0
2007-08-31,33,33,33,1.0
2007-09-29,38,38,38,1.0
2007-10-31,41,41,41,1.0
2007-11-30,37,37,37,1.0
2007-12-31,36,36,36,1.0
2008-01-31,21,21,21,1.0
2008-02-29,46,46,46,1.0
2008-03-31,27,27,27,1.0
2008-04-30,35,35,35,1.0
2008-05-30,23,23,23,1.0
2008-06-30,37,37,37,1.0
2008-07-31,30,30,30,1.0
2008-08-29,27,27,27,1.0
2008-09-30,21,21,21,1.0
2008-10-31,12,12,12,1.0
2008-11-28,26,26,26,1.0
2008-12-31,16,16,16,1.0
2009-01-21,10,10,10,1.0
2009-02-27,17,17,17,1.0
2009-03-31,50,50,50,1.0
2009-04-30,41,41,41,1.0
2009-05-27,35,35,35,1.0
2009-06-30,35,35,35,1.0
2009-07-31,40,40,40,1.0
2009-08-31,30,30,30,1.0
2009-09-30,38,38,38,1.0
2009-10-30,34,34,34,1.0
2009-11-30,34,34,34,1.0
2009-12-31,57,57,57,1.0
2010-01-29,44,44,44,1.0
2010-02-26,28,28,28,1.0
2010-03-31,37,37,37,1.0
2010-04-30,18,18,18,1.0
2010-05-31,18,18,18,1.0
2010-06-30,47,48,46,0.9387755102040817
2010-07-30,43,42,42,0.9767441860465116
2010-08-31,31,30,30,0.967741935483871
2010-09-30,45,45,45,1.0
2010-10-29,45,46,45,0.9782608695652174
2010-11-30,34,34,34,1.0
2010-12-31,60,60,60,1.0
2011-01-28,50,50,50,1.0
2011-02-25,36,37,36,0.972972972972973
2011-03-31,54,54,54,1.0
2011-04-29,34,34,34,1.0
2011-05-31,32,32,32,1.0
2011-06-30,57,57,57,1.0
2011-07-29,62,62,62,1.0
2011-08-31,25,25,25,1.0
2011-09-30,31,32,31,0.96875
2011-10-31,54,53,53,0.9814814814814815
2011-11-30,24,26,24,0.9230769230769231
2011-12-30,44,44,44,1.0
2012-01-31,56,55,55,0.9821428571428571
2012-02-29,58,59,58,0.9830508474576272
2012-03-30,35,35,35,1.0
2012-04-30,27,26,26,0.9629629629629629
2012-05-31,24,26,24,0.9230769230769231
2012-06-29,52,51,51,0.9807692307692307
2012-07-31,37,37,37,1.0
2012-08-31,37,37,37,1.0
2012-09-28,36,36,36,1.0
2012-10-31,37,39,37,0.9487179487179487
2012-11-30,52,51,51,0.9807692307692307
2012-12-28,53,52,52,0.9811320754716981
2013-01-31,34,34,34,1.0
2013-02-27,33,32,32,0.9696969696969697
2013-03-29,45,45,44,0.9565217391304348
2013-04-30,36,36,36,1.0
2013-05-31,36,36,36,1.0
2013-06-28,50,50,50,1.0
2013-07-31,42,42,42,1.0
2013-08-30,32,32,32,1.0
2013-09-30,50,50,50,1.0
2013-10-31,57,57,57,1.0
2013-11-29,46,46,46,1.0
2013-12-31,58,58,58,1.0
2014-01-27,36,36,36,1.0
2014-02-27,36,36,36,1.0
2014-03-31,47,47,47,1.0
2014-04-30,32,33,32,0.9696969696969697
2014-05-30,35,35,35,1.0
2014-06-30,62,61,61,0.9838709677419355
2014-07-31,49,49,49,1.0
2014-08-29,39,40,39,0.975
2014-09-30,36,36,36,1.0
2014-10-31,45,45,45,1.0
2014-11-28,34,34,34,1.0
2014-12-31,71,71,71,1.0
2015-01-30,52,52,52,1.0
2015-02-26,48,48,48,1.0
2015-03-31,39,40,39,0.975
2015-04-30,49,49,49,1.0
2015-05-29,32,32,32,1.0
2015-06-30,60,60,60,1.0
2015-07-31,59,58,58,0.9830508474576272
2015-08-31,42,42,42,1.0
2015-09-30,48,48,48,1.0
2015-10-30,54,54,54,1.0
2015-11-30,26,26,26,1.0
2015-12-31,57,57,57,1.0
2016-01-30,44,44,44,1.0
2016-02-26,43,43,43,1.0
2016-03-31,32,32,32,1.0
2016-04-29,32,33,32,0.9696969696969697
2016-05-31,36,37,36,0.972972972972973
2016-06-30,43,43,43,1.0
2016-07-29,47,47,47,1.0
2016-08-31,35,35,35,1.0
2016-09-30,39,39,39,1.0
2016-10-31,44,44,44,1.0
2016-11-30,23,23,23,1.0
2016-12-30,49,49,49,1.0
2017-01-24,56,56,56,1.0
2017-02-24,53,53,53,1.0
2017-03-31,28,28,28,1.0
2017-04-28,34,34,34,1.0
2017-05-31,38,38,38,1.0
2017-06-30,66,66,66,1.0
2017-07-31,52,52,52,1.0
2017-08-31,43,43,43,1.0
2017-09-30,35,35,35,1.0
2017-10-31,47,47,47,1.0
2017-11-30,35,35,35,1.0
2017-12-29,69,69,69,1.0
2018-01-31,56,56,56,1.0
2018-02-27,61,61,61,1.0
2018-03-31,52,52,52,1.0
2018-04-30,55,55,55,1.0
2018-05-31,38,38,38,1.0
2018-06-29,49,49,49,1.0
2018-07-31,56,56,56,1.0
2018-08-31,39,39,39,1.0
2018-09-28,40,40,40,1.0
2018-10-31,49,49,49,1.0
2018-11-30,40,40,40,1.0
2018-12-28,46,46,46,1.0
2019-01-30,41,41,41,1.0
2019-02-27,56,56,56,1.0
2019-03-29,44,44,44,1.0
2019-04-30,48,48,48,1.0
2019-05-31,44,44,44,1.0
2019-06-28,58,58,58,1.0
2019-07-31,43,43,43,1.0
2019-08-30,35,35,35,1.0
2019-09-27,54,54,54,1.0
2019-10-31,61,61,61,1.0
2019-11-29,46,46,46,1.0
2019-12-31,61,61,61,1.0
2020-01-31,52,52,52,1.0
2020-02-27,38,38,38,1.0
2020-03-31,70,70,70,1.0
2020-04-30,95,95,95,1.0
2020-05-29,49,49,49,1.0
2020-06-30,83,83,83,1.0
2020-07-31,72,72,72,1.0
2020-08-31,50,50,50,1.0
2020-09-30,62,62,62,1.0
2020-10-30,53,52,52,0.9811320754716981
2020-11-30,54,54,54,1.0
2020-12-31,69,69,69,1.0
2021-01-29,68,68,68,1.0
2021-02-26,67,66,66,0.9850746268656716
2021-03-31,71,70,70,0.9859154929577465
2021-04-29,58,58,58,1.0
2021-05-31,39,39,39,1.0
2021-06-30,77,77,77,1.0
2021-07-30,61,61,61,1.0
2021-08-31,65,65,65,1.0
2021-09-30,59,59,59,1.0
2021-10-29,69,69,69,1.0
2021-11-30,41,41,41,1.0
2021-12-30,87,87,87,1.0
2022-01-26,92,92,92,1.0
2022-02-25,68,68,68,1.0
2022-03-31,82,82,82,1.0
2022-04-29,76,76,76,1.0
2022-05-31,70,70,70,1.0
2022-06-30,101,102,101,0.9901960784313726
2022-07-29,78,78,78,1.0
2022-08-31,80,80,80,1.0
2022-09-30,95,95,95,1.0
2022-10-31,101,101,101,1.0
2022-11-30,82,82,82,1.0
2022-12-30,104,104,104,1.0
2023-01-31,64,64,64,1.0
2023-02-24,74,74,74,1.0
2023-03-31,65,65,65,1.0
2023-04-28,71,71,71,1.0
2023-05-31,58,58,58,1.0
2023-06-30,74,73,73,0.9864864864864865
2023-07-31,66,66,66,1.0
2023-08-31,62,62,62,1.0
2023-09-28,46,47,46,0.9787234042553191
2023-10-31,68,68,68,1.0
2023-11-30,77,77,77,1.0
2023-12-29,79,79,79,1.0
2024-01-31,75,75,75,1.0
2024-02-29,84,84,84,1.0
2024-03-29,61,61,61,1.0
2024-04-30,81,81,81,1.0
2024-05-31,65,65,65,1.0
2024-06-28,74,75,74,0.9866666666666667
2024-07-31,73,73,73,1.0
2024-08-30,73,73,73,1.0
2024-09-30,69,68,68,0.9855072463768116
2024-10-30,62,62,62,1.0
2024-11-29,53,53,53,1.0
2024-12-31,63,62,62,0.9841269841269841
2025-01-22,68,68,68,1.0
2025-02-27,80,80,80,1.0
2025-03-31,80,80,80,1.0
2025-04-30,81,81,81,1.0
2025-05-29,70,70,70,1.0
2025-06-30,69,69,69,1.0
2025-07-31,67,67,67,1.0
2025-08-29,58,58,58,1.0
2025-09-30,67,67,67,1.0
2025-10-31,69,69,69,1.0
2025-11-28,57,57,57,1.0
2025-12-31,57,57,57,1.0
2026-01-30,52,51,51,0.9807692307692307
2026-02-26,67,67,67,1.0
2026-03-31,50,50,50,1.0
