date,n_A_original,n_B_original,n_overlap,n_canonical,n_A_top20,n_B_top20,n_fusion
2005-01-31,736,736,736,736,147,147,17
2005-02-25,796,796,796,796,159,159,45
2005-03-31,827,826,826,826,165,165,12
2005-04-29,802,802,802,802,160,160,10
2005-05-31,693,693,693,693,138,138,8
2005-06-30,749,748,748,748,149,149,38
2005-07-29,753,753,753,753,150,150,19
2005-08-31,743,742,742,742,148,148,22
2005-09-30,674,674,674,674,134,134,21
2005-10-31,708,708,708,708,141,141,20
2005-11-30,662,661,661,661,132,132,36
2005-12-30,735,735,735,735,147,147,36
2006-01-25,751,751,751,751,150,150,25
2006-02-27,722,721,721,721,144,144,15
2006-03-31,720,720,720,720,144,144,23
2006-04-28,791,789,789,789,157,157,39
2006-05-30,751,750,750,750,150,150,24
2006-06-30,778,777,777,777,155,155,31
2006-07-31,752,752,752,752,150,150,26
2006-08-31,774,774,774,774,154,154,29
2006-09-29,762,762,762,762,152,152,37
2006-10-31,826,826,826,826,165,165,36
2006-11-30,835,835,835,835,167,167,45
2006-12-29,877,876,876,876,175,175,50
2007-01-31,874,874,874,874,174,174,33
2007-02-27,862,861,861,861,172,172,41
2007-03-30,879,878,878,878,175,175,41
2007-04-30,896,895,895,895,179,179,34
2007-05-31,836,836,836,836,167,167,30
2007-06-29,890,890,890,890,178,178,51
2007-07-31,906,906,906,906,181,181,38
2007-08-31,902,901,901,901,180,180,33
2007-09-29,871,871,871,871,174,174,38
2007-10-31,894,893,893,893,178,178,41
2007-11-30,863,862,862,862,172,172,37
2007-12-31,874,872,872,872,174,174,36
2008-01-31,873,873,873,873,174,174,21
2008-02-29,874,873,873,873,174,174,46
2008-03-31,905,903,903,903,180,180,27
2008-04-30,930,929,929,929,185,185,35
2008-05-30,890,889,889,889,177,177,23
2008-06-30,900,899,899,899,179,179,37
2008-07-31,883,882,882,882,176,176,30
2008-08-29,844,843,843,843,168,168,27
2008-09-30,814,813,813,813,162,162,21
2008-10-31,776,775,775,775,155,155,12
2008-11-28,705,704,704,704,140,140,26
2008-12-31,686,685,685,685,137,137,16
2009-01-21,668,668,668,668,133,133,10
2009-02-27,681,680,680,680,136,136,17
2009-03-31,831,829,829,829,165,165,50
2009-04-30,877,876,876,876,175,175,41
2009-05-27,726,726,726,726,145,145,35
2009-06-30,722,721,721,721,144,144,35
2009-07-31,742,741,741,741,148,148,40
2009-08-31,749,747,747,747,149,149,30
2009-09-30,702,701,701,701,140,140,38
2009-10-30,747,744,744,744,148,148,34
2009-11-30,712,709,709,709,141,141,34
2009-12-31,753,750,750,750,150,150,57
2010-01-29,765,763,763,763,152,152,44
2010-02-26,750,748,748,748,149,149,28
2010-03-31,764,761,761,761,152,152,37
2010-04-30,778,776,776,776,155,155,18
2010-05-31,739,738,738,738,147,147,18
2010-06-30,918,916,916,916,183,183,48
2010-07-30,925,923,923,923,184,184,42
2010-08-31,944,943,943,943,188,188,30
2010-09-30,915,914,914,914,182,182,45
2010-10-29,987,986,986,986,197,197,46
2010-11-30,942,940,940,940,188,188,34
2010-12-31,995,992,992,992,198,198,60
2011-01-28,998,996,996,996,199,199,50
2011-02-25,994,991,991,991,198,198,37
2011-03-31,1003,1000,1000,1000,200,200,54
2011-04-29,1002,1000,1000,1000,200,200,34
2011-05-31,943,937,937,937,187,187,32
2011-06-30,985,980,980,980,196,196,57
2011-07-29,985,980,980,980,196,196,62
2011-08-31,989,983,983,983,196,196,25
2011-09-30,893,888,888,888,177,177,32
2011-10-31,886,881,881,881,176,176,53
2011-11-30,875,865,865,865,173,173,26
2011-12-30,838,827,827,827,165,165,44
2012-01-31,878,865,865,865,173,173,55
2012-02-29,970,957,957,957,191,191,59
2012-03-30,962,949,949,949,189,189,35
2012-04-30,917,902,902,902,180,180,26
2012-05-31,774,760,760,760,152,152,26
2012-06-29,806,791,791,791,158,158,51
2012-07-31,820,798,798,798,159,159,37
2012-08-31,870,847,847,847,169,169,37
2012-09-28,857,834,834,834,166,166,36
2012-10-31,838,813,813,813,162,162,39
2012-11-30,776,750,750,750,150,150,51
2012-12-28,853,822,822,822,164,164,52
2013-01-31,866,836,836,836,167,167,34
2013-02-27,875,873,873,873,174,174,32
2013-03-29,892,890,890,890,178,178,45
2013-04-30,910,908,908,908,181,181,36
2013-05-31,863,862,862,862,172,172,36
2013-06-28,926,925,925,925,185,185,50
2013-07-31,926,926,926,926,185,185,42
2013-08-30,943,943,943,943,188,188,32
2013-09-30,911,910,910,910,182,182,50
2013-10-31,948,947,947,947,189,189,57
2013-11-29,902,900,900,900,180,180,46
2013-12-31,974,973,973,973,194,194,58
2014-01-27,998,997,997,997,199,199,36
2014-02-27,1025,1024,1024,1024,204,204,36
2014-03-31,1046,1043,1043,1043,208,208,47
2014-04-30,1042,1041,1041,1041,208,208,33
2014-05-30,973,973,973,973,194,194,35
2014-06-30,1083,1082,1082,1082,216,216,61
2014-07-31,1083,1082,1082,1082,216,216,49
2014-08-29,1069,1068,1068,1068,213,213,40
2014-09-30,1012,1010,1010,1010,202,202,36
2014-10-31,1039,1038,1038,1038,207,207,45
2014-11-28,1003,1002,1002,1002,200,200,34
2014-12-31,1094,1092,1092,1092,218,218,71
2015-01-30,1099,1099,1099,1099,219,219,52
2015-02-26,1077,1077,1077,1077,215,215,48
2015-03-31,1113,1112,1112,1112,222,222,40
2015-04-30,1125,1125,1125,1125,225,225,49
2015-05-29,1051,1051,1051,1051,210,210,32
2015-06-30,1069,1069,1069,1069,213,213,60
2015-07-31,1031,1029,1029,1029,205,205,58
2015-08-31,1049,1048,1048,1048,209,209,42
2015-09-30,972,970,970,970,194,194,48
2015-10-30,1028,1025,1025,1025,205,205,54
2015-11-30,972,970,970,970,194,194,26
2015-12-31,983,981,981,981,196,196,57
2016-01-30,959,959,959,959,191,191,44
2016-02-26,983,983,983,983,196,196,43
2016-03-31,1078,1078,1078,1078,215,215,32
2016-04-29,1032,1031,1031,1031,206,206,33
2016-05-31,924,922,922,922,184,184,37
2016-06-30,998,996,996,996,199,199,43
2016-07-29,1057,1056,1056,1056,211,211,47
2016-08-31,1057,1056,1056,1056,211,211,35
2016-09-30,998,997,997,997,199,199,39
2016-10-31,1022,1022,1022,1022,204,204,44
2016-11-30,974,973,973,973,194,194,23
2016-12-30,1018,1017,1017,1017,203,203,49
2017-01-24,1036,1036,1036,1036,207,207,56
2017-02-24,1107,1107,1107,1107,221,221,53
2017-03-31,1112,1111,1111,1111,222,222,28
2017-04-28,1096,1096,1096,1096,219,219,34
2017-05-31,1032,1032,1032,1032,206,206,38
2017-06-30,1095,1095,1095,1095,219,219,66
2017-07-31,1097,1097,1097,1097,219,219,52
2017-08-31,1107,1106,1106,1106,221,221,43
2017-09-30,1075,1074,1074,1074,214,214,35
2017-10-31,1099,1099,1099,1099,219,219,47
2017-11-30,1082,1082,1082,1082,216,216,35
2017-12-29,1101,1101,1101,1101,220,220,69
