gate,arm,pass,key_metric,baseline_value,u1_canonical_value,threshold
H1,front_gate,PASS,sharpe_full_period,0.89,0.88,">0.68 (0050 buy-hold)"
H1,front_gate,PASS,selection_effect_pp,9.30,9.17,">0"
H1,front_gate,PASS,reconciliation_max_diff_pp,0.0000,0.0000,"<0.01"
H2,walk_forward_OOS,PASS,sharpe,1.20,1.19,"> 0050 same-window sharpe (0.86)"
H2,walk_forward_OOS,PASS,cagr_pct,22.79,22.67,"> 0050 same-window CAGR (16.52%)"
H2b,fixed_target_tier_OOS,PASS,sharpe,1.20,1.19,"> 0050 same-window sharpe (0.86)"
H2b,fixed_target_tier_OOS,PASS,cagr_pct,22.79,22.67,"> 0050 same-window CAGR (16.52%)"
H3,h3_1_matched_random,PASS,p_value,0.000,0.000,"<0.01"
H3,h3_2_return_permutation,PASS,p_value,0.0000,0.0000,"<0.01"
H3,h3_3_allocation_permutation,PASS,observed_sharpe_vs_p95,"0.888 > 0.357","0.882 > 0.358","observed > permutation p95"
H3,h3_3_dsr,PASS,dsr_p,0.0002,0.0002,"<0.05"
H4,slippage_sensitivity,PASS,sharpe_at_0.6pct_slippage,0.73,0.72,">0.68"
H4,slippage_sensitivity,INFO,breakeven_slippage_pct,0.71,0.70,"n/a (informational)"
H5,six_era_robustness,PASS,wins_vs_equal_weight,6/6,6/6,">=4/6"
H5,six_era_robustness,PASS,wins_vs_0050_sharpe,4/6,4/6,">=3/6"
