date,n_holdings_baseline,n_holdings_u1,n_intersection,jaccard,n_A_original,n_B_original,n_overlap,n_canonical,n_A_top20,n_B_top20
2005-01-31,17,17,17,1.0,736,736,736,736,147,147
2005-02-25,45,45,45,1.0,796,796,796,796,159,159
2005-03-31,12,12,12,1.0,827,826,826,826,165,165
2005-04-29,10,10,10,1.0,802,802,802,802,160,160
2005-05-31,8,8,8,1.0,693,693,693,693,138,138
2005-06-30,38,38,38,1.0,749,748,748,748,149,149
2005-07-29,19,19,19,1.0,753,753,753,753,150,150
2005-08-31,22,22,22,1.0,743,742,742,742,148,148
2005-09-30,21,21,21,1.0,674,674,674,674,134,134
2005-10-31,20,20,20,1.0,708,708,708,708,141,141
2005-11-30,36,36,36,1.0,662,661,661,661,132,132
2005-12-30,36,36,36,1.0,735,735,735,735,147,147
2006-01-25,25,25,25,1.0,751,751,751,751,150,150
2006-02-27,15,15,15,1.0,722,721,721,721,144,144
2006-03-31,23,23,23,1.0,720,720,720,720,144,144
2006-04-28,39,39,39,1.0,791,789,789,789,157,157
2006-05-30,24,24,23,0.92,751,750,750,750,150,150
2006-06-30,32,31,31,0.96875,778,777,777,777,155,155
2006-07-31,26,26,26,1.0,752,752,752,752,150,150
2006-08-31,29,29,29,1.0,774,774,774,774,154,154
2006-09-29,37,37,37,1.0,762,762,762,762,152,152
2006-10-31,36,36,36,1.0,826,826,826,826,165,165
2006-11-30,45,45,45,1.0,835,835,835,835,167,167
2006-12-29,51,50,50,0.9803921568627452,877,876,876,876,175,175
2007-01-31,33,33,33,1.0,874,874,874,874,174,174
2007-02-27,41,41,41,1.0,862,861,861,861,172,172
2007-03-30,41,41,41,1.0,879,878,878,878,175,175
2007-04-30,35,34,34,0.9714285714285714,896,895,895,895,179,179
2007-05-31,30,30,30,1.0,836,836,836,836,167,167
2007-06-29,51,51,51,1.0,890,890,890,890,178,178
2007-07-31,38,38,38,1.0,906,906,906,906,181,181
2007-08-31,33,33,33,1.0,902,901,901,901,180,180
2007-09-29,38,38,38,1.0,871,871,871,871,174,174
2007-10-31,41,41,41,1.0,894,893,893,893,178,178
2007-11-30,37,37,37,1.0,863,862,862,862,172,172
2007-12-31,36,36,36,1.0,874,872,872,872,174,174
2008-01-31,21,21,21,1.0,873,873,873,873,174,174
2008-02-29,46,46,46,1.0,874,873,873,873,174,174
2008-03-31,27,27,27,1.0,905,903,903,903,180,180
2008-04-30,35,35,35,1.0,930,929,929,929,185,185
2008-05-30,23,23,23,1.0,890,889,889,889,177,177
2008-06-30,37,37,37,1.0,900,899,899,899,179,179
2008-07-31,30,30,30,1.0,883,882,882,882,176,176
2008-08-29,27,27,27,1.0,844,843,843,843,168,168
2008-09-30,21,21,21,1.0,814,813,813,813,162,162
2008-10-31,12,12,12,1.0,776,775,775,775,155,155
2008-11-28,26,26,26,1.0,705,704,704,704,140,140
2008-12-31,16,16,16,1.0,686,685,685,685,137,137
2009-01-21,10,10,10,1.0,668,668,668,668,133,133
2009-02-27,17,17,17,1.0,681,680,680,680,136,136
2009-03-31,50,50,50,1.0,831,829,829,829,165,165
2009-04-30,41,41,41,1.0,877,876,876,876,175,175
2009-05-27,35,35,35,1.0,726,726,726,726,145,145
2009-06-30,35,35,35,1.0,722,721,721,721,144,144
2009-07-31,40,40,40,1.0,742,741,741,741,148,148
2009-08-31,30,30,30,1.0,749,747,747,747,149,149
2009-09-30,38,38,38,1.0,702,701,701,701,140,140
2009-10-30,34,34,34,1.0,747,744,744,744,148,148
2009-11-30,34,34,34,1.0,712,709,709,709,141,141
2009-12-31,57,57,57,1.0,753,750,750,750,150,150
2010-01-29,44,44,44,1.0,765,763,763,763,152,152
2010-02-26,28,28,28,1.0,750,748,748,748,149,149
2010-03-31,37,37,37,1.0,764,761,761,761,152,152
2010-04-30,18,18,18,1.0,778,776,776,776,155,155
2010-05-31,18,18,18,1.0,739,738,738,738,147,147
2010-06-30,47,48,46,0.9387755102040816,918,916,916,916,183,183
2010-07-30,43,42,42,0.9767441860465116,925,923,923,923,184,184
2010-08-31,31,30,30,0.967741935483871,944,943,943,943,188,188
2010-09-30,45,45,45,1.0,915,914,914,914,182,182
2010-10-29,45,46,45,0.9782608695652174,987,986,986,986,197,197
2010-11-30,34,34,34,1.0,942,940,940,940,188,188
2010-12-31,60,60,60,1.0,995,992,992,992,198,198
2011-01-28,50,50,50,1.0,998,996,996,996,199,199
2011-02-25,36,37,36,0.972972972972973,994,991,991,991,198,198
2011-03-31,54,54,54,1.0,1003,1000,1000,1000,200,200
2011-04-29,34,34,34,1.0,1002,1000,1000,1000,200,200
2011-05-31,32,32,32,1.0,943,937,937,937,187,187
2011-06-30,57,57,57,1.0,985,980,980,980,196,196
2011-07-29,62,62,62,1.0,985,980,980,980,196,196
2011-08-31,25,25,25,1.0,989,983,983,983,196,196
2011-09-30,31,32,31,0.96875,893,888,888,888,177,177
2011-10-31,54,53,53,0.9814814814814816,886,881,881,881,176,176
2011-11-30,24,26,24,0.9230769230769232,875,865,865,865,173,173
2011-12-30,44,44,44,1.0,838,827,827,827,165,165
2012-01-31,56,55,55,0.9821428571428572,878,865,865,865,173,173
2012-02-29,58,59,58,0.9830508474576272,970,957,957,957,191,191
2012-03-30,35,35,35,1.0,962,949,949,949,189,189
2012-04-30,27,26,26,0.9629629629629628,917,902,902,902,180,180
2012-05-31,24,26,24,0.9230769230769232,774,760,760,760,152,152
2012-06-29,52,51,51,0.9807692307692308,806,791,791,791,158,158
2012-07-31,37,37,37,1.0,820,798,798,798,159,159
2012-08-31,37,37,37,1.0,870,847,847,847,169,169
2012-09-28,36,36,36,1.0,857,834,834,834,166,166
2012-10-31,37,39,37,0.9487179487179488,838,813,813,813,162,162
2012-11-30,52,51,51,0.9807692307692308,776,750,750,750,150,150
2012-12-28,53,52,52,0.981132075471698,853,822,822,822,164,164
2013-01-31,34,34,34,1.0,866,836,836,836,167,167
2013-02-27,33,32,32,0.9696969696969696,875,873,873,873,174,174
2013-03-29,45,45,44,0.9565217391304348,892,890,890,890,178,178
2013-04-30,36,36,36,1.0,910,908,908,908,181,181
2013-05-31,36,36,36,1.0,863,862,862,862,172,172
2013-06-28,50,50,50,1.0,926,925,925,925,185,185
2013-07-31,42,42,42,1.0,926,926,926,926,185,185
2013-08-30,32,32,32,1.0,943,943,943,943,188,188
2013-09-30,50,50,50,1.0,911,910,910,910,182,182
2013-10-31,57,57,57,1.0,948,947,947,947,189,189
2013-11-29,46,46,46,1.0,902,900,900,900,180,180
2013-12-31,58,58,58,1.0,974,973,973,973,194,194
2014-01-27,36,36,36,1.0,998,997,997,997,199,199
2014-02-27,36,36,36,1.0,1025,1024,1024,1024,204,204
2014-03-31,47,47,47,1.0,1046,1043,1043,1043,208,208
2014-04-30,32,33,32,0.9696969696969696,1042,1041,1041,1041,208,208
2014-05-30,35,35,35,1.0,973,973,973,973,194,194
2014-06-30,62,61,61,0.9838709677419356,1083,1082,1082,1082,216,216
2014-07-31,49,49,49,1.0,1083,1082,1082,1082,216,216
2014-08-29,39,40,39,0.975,1069,1068,1068,1068,213,213
2014-09-30,36,36,36,1.0,1012,1010,1010,1010,202,202
2014-10-31,45,45,45,1.0,1039,1038,1038,1038,207,207
2014-11-28,34,34,34,1.0,1003,1002,1002,1002,200,200
2014-12-31,71,71,71,1.0,1094,1092,1092,1092,218,218
2015-01-30,52,52,52,1.0,1099,1099,1099,1099,219,219
2015-02-26,48,48,48,1.0,1077,1077,1077,1077,215,215
2015-03-31,39,40,39,0.975,1113,1112,1112,1112,222,222
2015-04-30,49,49,49,1.0,1125,1125,1125,1125,225,225
2015-05-29,32,32,32,1.0,1051,1051,1051,1051,210,210
2015-06-30,60,60,60,1.0,1069,1069,1069,1069,213,213
2015-07-31,59,58,58,0.9830508474576272,1031,1029,1029,1029,205,205
2015-08-31,42,42,42,1.0,1049,1048,1048,1048,209,209
2015-09-30,48,48,48,1.0,972,970,970,970,194,194
2015-10-30,54,54,54,1.0,1028,1025,1025,1025,205,205
2015-11-30,26,26,26,1.0,972,970,970,970,194,194
2015-12-31,57,57,57,1.0,983,981,981,981,196,196
2016-01-30,44,44,44,1.0,959,959,959,959,191,191
2016-02-26,43,43,43,1.0,983,983,983,983,196,196
2016-03-31,32,32,32,1.0,1078,1078,1078,1078,215,215
2016-04-29,32,33,32,0.9696969696969696,1032,1031,1031,1031,206,206
2016-05-31,36,37,36,0.972972972972973,924,922,922,922,184,184
2016-06-30,43,43,43,1.0,998,996,996,996,199,199
2016-07-29,47,47,47,1.0,1057,1056,1056,1056,211,211
2016-08-31,35,35,35,1.0,1057,1056,1056,1056,211,211
2016-09-30,39,39,39,1.0,998,997,997,997,199,199
2016-10-31,44,44,44,1.0,1022,1022,1022,1022,204,204
2016-11-30,23,23,23,1.0,974,973,973,973,194,194
2016-12-30,49,49,49,1.0,1018,1017,1017,1017,203,203
2017-01-24,56,56,56,1.0,1036,1036,1036,1036,207,207
2017-02-24,53,53,53,1.0,1107,1107,1107,1107,221,221
2017-03-31,28,28,28,1.0,1112,1111,1111,1111,222,222
2017-04-28,34,34,34,1.0,1096,1096,1096,1096,219,219
2017-05-31,38,38,38,1.0,1032,1032,1032,1032,206,206
2017-06-30,66,66,66,1.0,1095,1095,1095,1095,219,219
2017-07-31,52,52,52,1.0,1097,1097,1097,1097,219,219
2017-08-31,43,43,43,1.0,1107,1106,1106,1106,221,221
2017-09-30,35,35,35,1.0,1075,1074,1074,1074,214,214
2017-10-31,47,47,47,1.0,1099,1099,1099,1099,219,219
2017-11-30,35,35,35,1.0,1082,1082,1082,1082,216,216
2017-12-29,69,69,69,1.0,1101,1101,1101,1101,220,220
2018-01-31,56,56,56,1.0,1154,1154,1154,1154,230,230
2018-02-27,61,61,61,1.0,1146,1145,1145,1145,229,229
2018-03-31,52,52,52,1.0,1157,1157,1157,1157,231,231
2018-04-30,55,55,55,1.0,1151,1151,1151,1151,230,230
2018-05-31,38,38,38,1.0,1036,1036,1036,1036,207,207
2018-06-29,49,49,49,1.0,1111,1111,1111,1111,222,222
2018-07-31,56,56,56,1.0,1077,1077,1077,1077,215,215
2018-08-31,39,39,39,1.0,1072,1072,1072,1072,214,214
2018-09-28,40,40,40,1.0,1036,1036,1036,1036,207,207
2018-10-31,49,49,49,1.0,1086,1086,1086,1086,217,217
2018-11-30,40,40,40,1.0,945,945,945,945,189,189
2018-12-28,46,46,46,1.0,991,991,991,991,198,198
2019-01-30,41,41,41,1.0,990,990,990,990,198,198
2019-02-27,56,56,56,1.0,1055,1055,1055,1055,211,211
2019-03-29,44,44,44,1.0,1111,1111,1111,1111,222,222
2019-04-30,48,48,48,1.0,1113,1111,1111,1111,222,222
2019-05-31,44,44,44,1.0,1032,1030,1030,1030,206,206
2019-06-28,58,58,58,1.0,1041,1041,1041,1041,208,208
2019-07-31,43,43,43,1.0,1093,1093,1093,1093,218,218
2019-08-30,35,35,35,1.0,1079,1079,1079,1079,215,215
2019-09-27,54,54,54,1.0,1035,1035,1035,1035,207,207
2019-10-31,61,61,61,1.0,1054,1054,1054,1054,210,210
2019-11-29,46,46,46,1.0,1057,1057,1057,1057,211,211
2019-12-31,61,61,61,1.0,1089,1089,1089,1089,217,217
2020-01-31,52,52,52,1.0,1109,1109,1109,1109,221,221
2020-02-27,38,38,38,1.0,1079,1079,1079,1079,215,215
2020-03-31,70,70,70,1.0,1143,1142,1142,1142,228,228
2020-04-30,95,95,95,1.0,1111,1111,1111,1111,222,222
2020-05-29,49,49,49,1.0,1036,1036,1036,1036,207,207
2020-06-30,83,83,83,1.0,1101,1101,1101,1101,220,220
2020-07-31,72,72,72,1.0,1130,1130,1130,1130,226,226
2020-08-31,50,50,50,1.0,1114,1114,1114,1114,222,222
2020-09-30,62,62,62,1.0,1043,1043,1043,1043,208,208
2020-10-30,53,52,52,0.981132075471698,1035,1034,1034,1034,206,206
2020-11-30,54,54,54,1.0,1064,1061,1061,1061,212,212
2020-12-31,69,69,69,1.0,1144,1144,1144,1144,228,228
2021-01-29,68,68,68,1.0,1143,1142,1142,1142,228,228
2021-02-26,67,66,66,0.9850746268656716,1144,1143,1143,1143,228,228
2021-03-31,71,70,70,0.9859154929577464,1190,1188,1188,1188,237,237
2021-04-29,58,58,58,1.0,1227,1227,1227,1227,245,245
2021-05-31,39,39,39,1.0,1151,1151,1151,1151,230,230
