signal,pool,split_type,segment,n_months,ic_mean,ic_t
RSI14,wide,era,2005-2009(海嘯),60,-0.0258,-1.51
RSI14,wide,era,2010-2014,60,-0.0095,-0.69
RSI14,wide,era,2015-2018,48,-0.0107,-0.72
RSI14,wide,era,2019-2021,36,-0.0444,-2.28
RSI14,wide,era,2022空頭,12,-0.0889,-2.53
RSI14,wide,era,2023-2026,40,-0.0155,-0.83
RSI14,wide,regime,bull,201,-0.0138,-1.69
RSI14,wide,regime,bear,55,-0.0572,-3.65
布林%B,wide,era,2005-2009(海嘯),60,-0.0273,-1.77
布林%B,wide,era,2010-2014,60,-0.0087,-0.6
布林%B,wide,era,2015-2018,48,-0.0131,-0.86
布林%B,wide,era,2019-2021,36,-0.0362,-1.82
布林%B,wide,era,2022空頭,12,-0.0857,-2.85
布林%B,wide,era,2023-2026,40,-0.0254,-1.5
布林%B,wide,regime,bull,201,-0.0158,-2.05
布林%B,wide,regime,bear,55,-0.0536,-3.35
MA偏離,wide,era,2005-2009(海嘯),60,-0.0393,-1.91
MA偏離,wide,era,2010-2014,60,-0.0308,-1.88
MA偏離,wide,era,2015-2018,48,-0.0264,-1.24
MA偏離,wide,era,2019-2021,36,-0.0495,-1.97
MA偏離,wide,era,2022空頭,12,-0.0812,-1.56
MA偏離,wide,era,2023-2026,40,-0.006,-0.32
MA偏離,wide,regime,bull,201,-0.0153,-1.66
MA偏離,wide,regime,bear,55,-0.0981,-4.34
法人賣轉買(rev_score),wide,era,2005-2009(海嘯),60,-0.0113,-1.18
法人賣轉買(rev_score),wide,era,2010-2014,60,-0.002,-0.24
法人賣轉買(rev_score),wide,era,2015-2018,48,-0.005,-0.65
法人賣轉買(rev_score),wide,era,2019-2021,36,-0.0109,-0.67
法人賣轉買(rev_score),wide,era,2022空頭,12,-0.0084,-0.33
法人賣轉買(rev_score),wide,era,2023-2026,40,-0.0132,-1.34
法人賣轉買(rev_score),wide,regime,bull,201,-0.006,-1.19
法人賣轉買(rev_score),wide,regime,bear,55,-0.0155,-1.65
RSI14,dual100_primary,era,2005-2009(海嘯),37,-0.0026,-0.07
RSI14,dual100_primary,era,2010-2014,48,-0.0038,-0.16
RSI14,dual100_primary,era,2015-2018,43,0.0053,0.15
RSI14,dual100_primary,era,2019-2021,31,0.0273,0.79
RSI14,dual100_primary,era,2022空頭,12,-0.0673,-1.29
RSI14,dual100_primary,era,2023-2026,39,-0.0186,-0.57
布林%B,dual100_primary,era,2005-2009(海嘯),37,0.0097,0.27
布林%B,dual100_primary,era,2010-2014,48,0.0031,0.1
布林%B,dual100_primary,era,2015-2018,43,0.0471,1.46
布林%B,dual100_primary,era,2019-2021,31,0.0539,1.3
布林%B,dual100_primary,era,2022空頭,12,-0.094,-2.25
布林%B,dual100_primary,era,2023-2026,39,-0.0286,-0.94
MA偏離,dual100_primary,era,2005-2009(海嘯),37,0.0265,0.65
MA偏離,dual100_primary,era,2010-2014,48,-0.001,-0.03
MA偏離,dual100_primary,era,2015-2018,43,-0.007,-0.2
MA偏離,dual100_primary,era,2019-2021,31,0.0308,0.69
MA偏離,dual100_primary,era,2022空頭,12,-0.0605,-1.22
MA偏離,dual100_primary,era,2023-2026,39,-0.0604,-1.9
法人賣轉買(rev_score),dual100_primary,era,2005-2009(海嘯),37,0.0026,0.08
法人賣轉買(rev_score),dual100_primary,era,2010-2014,48,0.0525,1.94
法人賣轉買(rev_score),dual100_primary,era,2015-2018,43,0.0314,0.95
法人賣轉買(rev_score),dual100_primary,era,2019-2021,31,0.0219,0.7
法人賣轉買(rev_score),dual100_primary,era,2022空頭,12,-0.029,-0.69
法人賣轉買(rev_score),dual100_primary,era,2023-2026,39,0.0194,0.84
