signal,factor_col,horizon,horizon_col,pool,sensitivity_only,n_months,ic_mean,ic_t,ls10_mean,ls10_t
RSI14,rsi14,T+1,fwd_t1,wide,False,257,-0.0246,-3.25,0.122,0.45
RSI14,rsi14,T+1,fwd_t1,dual100_primary,False,210,-0.0066,-0.49,-0.15,-0.23
布林%B,bbp20,T+1,fwd_t1,wide,False,257,-0.0257,-3.51,-0.068,-0.26
布林%B,bbp20,T+1,fwd_t1,dual100_primary,False,210,0.0049,0.34,0.312,0.44
MA偏離,ma_gap60,T+1,fwd_t1,wide,False,257,-0.034,-3.73,0.172,0.47
MA偏離,ma_gap60,T+1,fwd_t1,dual100_primary,False,210,-0.008,-0.53,1.976,2.45
法人賣轉買(rev_score=chip5-chip),_inst_revscore,T+1,fwd_t1,wide,False,257,-0.0087,-1.95,-0.428,-2.58
法人賣轉買(rev_score=chip5-chip),_inst_revscore,T+1,fwd_t1,dual100_primary,False,210,0.0253,1.92,-0.536,-0.85
RSI14,rsi14,T+20,fwd_x,wide,False,256,-0.0231,-3.17,0.185,0.7
RSI14,rsi14,T+20,fwd_x,dual100_primary,False,210,-0.0035,-0.26,-0.181,-0.27
布林%B,bbp20,T+20,fwd_x,wide,False,256,-0.0239,-3.4,0.004,0.01
布林%B,bbp20,T+20,fwd_x,dual100_primary,False,210,0.0093,0.65,0.219,0.32
MA偏離,ma_gap60,T+20,fwd_x,wide,False,256,-0.0331,-3.7,0.234,0.63
MA偏離,ma_gap60,T+20,fwd_x,dual100_primary,False,210,-0.0071,-0.47,1.956,2.41
法人賣轉買(rev_score=chip5-chip),_inst_revscore,T+20,fwd_x,wide,False,256,-0.0081,-1.81,-0.433,-2.59
法人賣轉買(rev_score=chip5-chip),_inst_revscore,T+20,fwd_x,dual100_primary,False,210,0.0241,1.88,-0.782,-1.25
RSI14,rsi14,T+60,fwd_x60,wide,False,254,-0.0002,-0.02,1.654,3.51
RSI14,rsi14,T+60,fwd_x60,dual100_primary,False,209,0.0163,1.22,0.258,0.2
布林%B,bbp20,T+60,fwd_x60,wide,False,254,-0.0059,-0.89,0.307,0.65
布林%B,bbp20,T+60,fwd_x60,dual100_primary,False,209,0.0125,0.93,-0.256,-0.19
MA偏離,ma_gap60,T+60,fwd_x60,wide,False,254,0.0037,0.43,3.063,4.9
MA偏離,ma_gap60,T+60,fwd_x60,dual100_primary,False,209,0.0058,0.39,5.14,3.52
法人賣轉買(rev_score=chip5-chip),_inst_revscore,T+60,fwd_x60,wide,False,254,-0.0113,-2.63,-0.877,-2.69
法人賣轉買(rev_score=chip5-chip),_inst_revscore,T+60,fwd_x60,dual100_primary,False,209,-0.0051,-0.39,-1.341,-1.07
RSI14,rsi14,T+2,fwd_t2,wide,True,257,-0.021,-2.89,0.262,1.0
RSI14,rsi14,T+2,fwd_t2,dual100_primary,True,210,-0.0049,-0.35,-0.049,-0.07
布林%B,bbp20,T+2,fwd_t2,wide,True,257,-0.0216,-2.96,0.01,0.04
布林%B,bbp20,T+2,fwd_t2,dual100_primary,True,210,0.0109,0.73,0.19,0.28
MA偏離,ma_gap60,T+2,fwd_t2,wide,True,257,-0.033,-3.73,0.21,0.6
MA偏離,ma_gap60,T+2,fwd_t2,dual100_primary,True,210,-0.0074,-0.5,1.472,1.87
法人賣轉買(rev_score=chip5-chip),_inst_revscore,T+2,fwd_t2,wide,True,257,-0.0079,-1.76,-0.397,-2.38
法人賣轉買(rev_score=chip5-chip),_inst_revscore,T+2,fwd_t2,dual100_primary,True,210,0.0325,2.59,-0.439,-0.75
