combo,bucket,horizon,n_months,avg_n_per_month,mean_fwd,t
RSI14×布林%B,RSI14高×布林%B高,T+1,257,225.0,0.857,2.04
RSI14×布林%B,RSI14高×布林%B低,T+1,257,39.9,0.652,1.41
RSI14×布林%B,RSI14低×布林%B高,T+1,257,39.8,0.792,1.92
RSI14×布林%B,RSI14低×布林%B低,T+1,257,224.3,0.852,1.96
RSI14×MA偏離,RSI14高×MA偏離高,T+1,257,194.2,0.941,2.22
RSI14×MA偏離,RSI14高×MA偏離低,T+1,257,70.7,0.553,1.25
RSI14×MA偏離,RSI14低×MA偏離高,T+1,257,70.5,0.954,2.19
RSI14×MA偏離,RSI14低×MA偏離低,T+1,257,193.5,0.81,1.85
布林%B×MA偏離,布林%B高×MA偏離高,T+1,257,193.7,0.941,2.24
布林%B×MA偏離,布林%B高×MA偏離低,T+1,257,71.1,0.574,1.34
布林%B×MA偏離,布林%B低×MA偏離高,T+1,257,71.1,0.96,2.17
布林%B×MA偏離,布林%B低×MA偏離低,T+1,257,193.1,0.795,1.8
RSI14×布林%B×MA偏離,RSI14高×布林%B高×MA偏離高,T+1,257,174.5,0.94,2.22
RSI14×布林%B×MA偏離,RSI14高×布林%B高×MA偏離低,T+1,257,50.5,0.546,1.25
RSI14×布林%B×MA偏離,RSI14高×布林%B低×MA偏離高,T+1,257,19.8,0.881,1.85
RSI14×布林%B×MA偏離,RSI14高×布林%B低×MA偏離低,T+1,257,20.2,0.423,0.89
RSI14×布林%B×MA偏離,RSI14低×布林%B高×MA偏離高,T+1,257,19.2,0.933,2.06
RSI14×布林%B×MA偏離,RSI14低×布林%B高×MA偏離低,T+1,257,20.6,0.673,1.57
RSI14×布林%B×MA偏離,RSI14低×布林%B低×MA偏離高,T+1,257,51.3,0.975,2.2
RSI14×布林%B×MA偏離,RSI14低×布林%B低×MA偏離低,T+1,257,172.9,0.832,1.88
RSI14×布林%B,RSI14高×布林%B高,T+20,256,222.8,1.013,2.4
RSI14×布林%B,RSI14高×布林%B低,T+20,256,39.6,0.894,1.92
RSI14×布林%B,RSI14低×布林%B高,T+20,256,39.4,0.942,2.3
RSI14×布林%B,RSI14低×布林%B低,T+20,256,222.1,0.986,2.29
RSI14×MA偏離,RSI14高×MA偏離高,T+20,256,192.3,1.107,2.59
RSI14×MA偏離,RSI14高×MA偏離低,T+20,256,70.1,0.73,1.65
RSI14×MA偏離,RSI14低×MA偏離高,T+20,256,69.9,1.141,2.63
RSI14×MA偏離,RSI14低×MA偏離低,T+20,256,191.6,0.925,2.14
布林%B×MA偏離,布林%B高×MA偏離高,T+20,256,191.8,1.098,2.59
布林%B×MA偏離,布林%B高×MA偏離低,T+20,256,70.4,0.716,1.67
布林%B×MA偏離,布林%B低×MA偏離高,T+20,256,70.4,1.179,2.64
布林%B×MA偏離,布林%B低×MA偏離低,T+20,256,191.2,0.923,2.11
RSI14×布林%B×MA偏離,RSI14高×布林%B高×MA偏離高,T+20,256,172.7,1.1,2.58
RSI14×布林%B×MA偏離,RSI14高×布林%B高×MA偏離低,T+20,256,50.1,0.694,1.58
RSI14×布林%B×MA偏離,RSI14高×布林%B低×MA偏離高,T+20,256,19.6,1.137,2.34
RSI14×布林%B×MA偏離,RSI14高×布林%B低×MA偏離低,T+20,256,20.0,0.671,1.41
RSI14×布林%B×MA偏離,RSI14低×布林%B高×MA偏離高,T+20,256,19.1,1.07,2.38
RSI14×布林%B×MA偏離,RSI14低×布林%B高×MA偏離低,T+20,256,20.3,0.832,1.95
RSI14×布林%B×MA偏離,RSI14低×布林%B低×MA偏離高,T+20,256,50.8,1.188,2.67
RSI14×布林%B×MA偏離,RSI14低×布林%B低×MA偏離低,T+20,256,171.2,0.943,2.16
RSI14×布林%B,RSI14高×布林%B高,T+60,254,218.2,3.368,4.25
RSI14×布林%B,RSI14高×布林%B低,T+60,254,39.1,2.926,3.59
RSI14×布林%B,RSI14低×布林%B高,T+60,254,38.9,2.899,3.65
RSI14×布林%B,RSI14低×布林%B低,T+60,254,217.4,2.627,3.34
RSI14×MA偏離,RSI14高×MA偏離高,T+60,254,188.4,3.767,4.67
RSI14×MA偏離,RSI14高×MA偏離低,T+60,254,68.8,2.15,2.73
RSI14×MA偏離,RSI14低×MA偏離高,T+60,254,68.6,3.554,4.37
RSI14×MA偏離,RSI14低×MA偏離低,T+60,254,187.7,2.318,2.94
布林%B×MA偏離,布林%B高×MA偏離高,T+60,254,187.7,3.674,4.57
布林%B×MA偏離,布林%B高×MA偏離低,T+60,254,69.3,2.104,2.68
布林%B×MA偏離,布林%B低×MA偏離高,T+60,254,69.3,3.714,4.53
布林%B×MA偏離,布林%B低×MA偏離低,T+60,254,187.2,2.329,2.95
RSI14×布林%B×MA偏離,RSI14高×布林%B高×MA偏離高,T+60,254,169.0,3.712,4.6
RSI14×布林%B×MA偏離,RSI14高×布林%B高×MA偏離低,T+60,254,49.2,2.156,2.68
RSI14×布林%B×MA偏離,RSI14高×布林%B低×MA偏離高,T+60,254,19.4,3.998,4.49
RSI14×布林%B×MA偏離,RSI14高×布林%B低×MA偏離低,T+60,254,19.6,1.962,2.41
RSI14×布林%B×MA偏離,RSI14低×布林%B高×MA偏離高,T+60,254,18.8,3.613,4.07
RSI14×布林%B×MA偏離,RSI14低×布林%B高×MA偏離低,T+60,254,20.1,2.009,2.53
RSI14×布林%B×MA偏離,RSI14低×布林%B低×MA偏離高,T+60,254,49.8,3.624,4.44
RSI14×布林%B×MA偏離,RSI14低×布林%B低×MA偏離低,T+60,254,167.6,2.353,2.96
