signal,horizon,wide_ic,wide_t,wide_n,dual100_ic,dual100_t,dual100_n,delta_ic
RSI14,T+1,-0.0246,-3.25,257,-0.0066,-0.49,210,0.018
布林%B,T+1,-0.0257,-3.51,257,0.0049,0.34,210,0.0306
MA偏離,T+1,-0.034,-3.73,257,-0.008,-0.53,210,0.026
法人賣轉買(rev_score=chip5-chip),T+1,-0.0087,-1.95,257,0.0253,1.92,210,0.034
RSI14,T+20,-0.0231,-3.17,256,-0.0035,-0.26,210,0.0196
布林%B,T+20,-0.0239,-3.4,256,0.0093,0.65,210,0.0332
MA偏離,T+20,-0.0331,-3.7,256,-0.0071,-0.47,210,0.026
法人賣轉買(rev_score=chip5-chip),T+20,-0.0081,-1.81,256,0.0241,1.88,210,0.0322
RSI14,T+60,-0.0002,-0.02,254,0.0163,1.22,209,0.0165
布林%B,T+60,-0.0059,-0.89,254,0.0125,0.93,209,0.0184
MA偏離,T+60,0.0037,0.43,254,0.0058,0.39,209,0.0021
法人賣轉買(rev_score=chip5-chip),T+60,-0.0113,-2.63,254,-0.0051,-0.39,209,0.0062
