pool,n,avg_corr,segment,range,neutral_spread,buy_spread,verdict
baseline_45,45,0.22726320058651323,2021 多頭,2021-01-01~2021-12-31,+2.54% (12期),-1.18%,✅ 排序力保持
baseline_45,45,0.22726320058651323,2022 空頭,2022-01-01~2022-12-31,+0.35% (12期),-2.41%,✅ 排序力保持
baseline_45,45,0.22726320058651323,2023–2025 多頭,2023-01-01~2025-12-31,+2.80% (36期),+1.52%,✅ 排序力保持
random_45_#1,45,0.23044441811385688,2021 多頭,2021-01-01~2021-12-31,+2.04% (12期),-3.21%,✅ 排序力保持
random_45_#1,45,0.23044441811385688,2022 空頭,2022-01-01~2022-12-31,+0.19% (12期),-3.72%,✅ 排序力保持
random_45_#1,45,0.23044441811385688,2023–2025 多頭,2023-01-01~2025-12-31,+1.89% (36期),+0.98%,✅ 排序力保持
random_45_#2,45,0.2338883887023087,2021 多頭,2021-01-01~2021-12-31,+1.61% (12期),-1.85%,✅ 排序力保持
random_45_#2,45,0.2338883887023087,2022 空頭,2022-01-01~2022-12-31,+0.94% (12期),-3.24%,✅ 排序力保持
random_45_#2,45,0.2338883887023087,2023–2025 多頭,2023-01-01~2025-12-31,+2.75% (36期),+1.26%,✅ 排序力保持
random_45_#3,45,0.22126951123681607,2021 多頭,2021-01-01~2021-12-31,+2.49% (12期),-1.97%,✅ 排序力保持
random_45_#3,45,0.22126951123681607,2022 空頭,2022-01-01~2022-12-31,-0.62% (12期),-4.86%,❌ 排序力失效
random_45_#3,45,0.22126951123681607,2023–2025 多頭,2023-01-01~2025-12-31,+2.09% (36期),-0.01%,✅ 排序力保持
random_45_#4,45,0.23005661394745466,2021 多頭,2021-01-01~2021-12-31,+0.37% (12期),-2.52%,✅ 排序力保持
random_45_#4,45,0.23005661394745466,2022 空頭,2022-01-01~2022-12-31,+0.32% (12期),-4.68%,✅ 排序力保持
random_45_#4,45,0.23005661394745466,2023–2025 多頭,2023-01-01~2025-12-31,+2.51% (36期),+1.21%,✅ 排序力保持
random_45_#5,45,0.22639151095368937,2021 多頭,2021-01-01~2021-12-31,+2.04% (12期),-1.74%,✅ 排序力保持
random_45_#5,45,0.22639151095368937,2022 空頭,2022-01-01~2022-12-31,+1.35% (12期),-2.73%,✅ 排序力保持
random_45_#5,45,0.22639151095368937,2023–2025 多頭,2023-01-01~2025-12-31,+2.37% (36期),+1.46%,✅ 排序力保持
