relpath,size_bytes,sha256,mtime_utc
0050 股價、報酬率 2005-20260806/0050 2004.xlsx,19068,923e0c95f4f26ca505a104f0523ad3024afb90d35de5b7b665742ec850c7a61e,2026-08-06T13:24:56.169415+00:00
0050 股價、報酬率 2005-20260806/0050 2005-2007.xlsx,25982,d2745cc6c262b7e964e3b376aa8027112286efbb8c38308b4f4f8c2ff080476f,2026-07-22T10:02:07.713294+00:00
0050 股價、報酬率 2005-20260806/0050 2008-2009.xlsx,19543,d3ad2fe91809b44c7493eb3e4a30d4c5947663b904e0ce9e4bebf461090a3ce4,2026-07-22T10:03:08.292044+00:00
0050 股價、報酬率 2005-20260806/0050 2010-2011.xlsx,19165,f544f9cf246e3f9be613d100ca3da09e49f7458788bad452619f0a6a83fcdf9d,2026-07-22T10:03:47.415287+00:00
0050 股價、報酬率 2005-20260806/0050 2012-2013.xlsx,18913,f678d34670aefd166a73d806ca42629d64896c12e5643bfc22de68ffda6b1045,2026-07-22T10:04:18.849780+00:00
0050 股價、報酬率 2005-20260806/0050 2014-2016.xlsx,25306,bdc2c79e740bcb38b521835028f7287093137de12920ffd02990880bcdc8777c,2026-07-22T10:04:57.088383+00:00
0050 股價、報酬率 2005-20260806/0050 2017-2019.xlsx,25459,6ade803d035621744542a9fb40ec709602b7c5285e239d7f9c075f9dfe588b9d,2026-07-22T10:05:31.885020+00:00
0050 股價、報酬率 2005-20260806/0050 2020-2022.xlsx,26160,e1a2bca4ea10a5ecee19d0e91b23308091e12c97406efb23eafa928f8bde2f16,2026-07-22T10:06:03.031244+00:00
0050 股價、報酬率 2005-20260806/0050 2023-20260722.xlsx,29976,296bcc1d109f65c149d7cb5de83d99af00b122fd7e33565ff60d8f13d9bb8b22,2026-07-22T10:06:29.913810+00:00
0050 股價、報酬率 2005-20260806/0050 20260723-0806.xlsx,5555,b79a7baa6cb68bc02c08bd422eaff567dc52ff65ef58be0c7f8cdfd92edb2cdc,2026-08-06T13:22:42.545028+00:00
個股股價、本益比2004-20260806/2004DataExport.xlsx,18885147,67208e2c45d148271d9ad94ef2837ee5836d0e2861014ddbd32c21f6bccb5e40,2026-07-15T10:23:31.940125+00:00
個股股價、本益比2004-20260806/2005DataExport.xlsx,19773623,611613cff1de868bf74ed63a123af68c79d85fdcd7922df63b2b3bcc39816598,2026-07-15T10:30:03.174583+00:00
個股股價、本益比2004-20260806/2006DataExport.xlsx,20270201,bb8598042cb98b19895ad0746888d49ac1ee36a80e8ebabe929bb1b842120f24,2026-07-15T10:34:45.609980+00:00
個股股價、本益比2004-20260806/2007DataExport.xlsx,20925737,690c0b8674fe883ef38fcb1e8c193537307ef384ce4c854f308a1df150548cda,2026-07-15T10:37:50.944267+00:00
個股股價、本益比2004-20260806/2008DataExport.xlsx,21503337,4dc80ec521a2809e847f93d85e3c66bb69b61148b2d2bbcd3bff0218147952ba,2026-07-15T10:45:31.841287+00:00
個股股價、本益比2004-20260806/2009DataExport.xlsx,21642282,f271c5dcf973291971048698674d585c9348657c8911da361e40e2edf39e1714,2026-07-15T10:48:58.660271+00:00
個股股價、本益比2004-20260806/2010DataExport.xlsx,22476162,ffcf2db8710e75dfeb4211f6c09c8494a422cb9e8fac5c16a2ac4340c2681ea7,2026-07-15T10:53:05.388191+00:00
個股股價、本益比2004-20260806/2011DataExport.xlsx,23199105,708d3b84b427fac5a7d8475813f676dfc3cd3df2ee32fbb9240c40f376b75b5e,2026-07-15T10:56:58.955021+00:00
個股股價、本益比2004-20260806/2012DataExport.xlsx,23971113,722d3bf2f6a137c2a43ee6ccb69830ecb0e399bc05f55eb8662f77d5cb626a4d,2026-07-15T11:00:01.894366+00:00
